X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-98.759746831,29.388569115,"0","0","140",226.054,,,,,,,,,,,,,,,,,,,,,,
-98.759749251,29.388573331,"0","0","141",226.076,,,,,,,,,,,,,,,,,,,,,,
-98.759752874,29.388575444,"0","0","142",226.084,,,,,,,,,,,,,,,,,,,,,,
-98.759756501,29.388579662,"0","0","143",226.105,,,,,,,,,,,,,,,,,,,,,,
-98.759761333,29.38858283,"0","0","144",226.118,,,,,,,,,,,,,,,,,,,,,,
-98.759763753,29.388587047,"0","0","145",226.139,,,,,,,,,,,,,,,,,,,,,,
-98.759768585,29.388589163,"0","0","146",226.145,,,,,,,,,,,,,,,,,,,,,,
-98.759773419,29.388592332,"0","0","147",226.158,,,,,,,,,,,,,,,,,,,,,,
-98.759777044,29.388593394,"0","0","148",226.159,,,,,,,,,,,,,,,,,,,,,,
-98.759781879,29.388596564,"0","0","149",226.171,,,,,,,,,,,,,,,,,,,,,,
-98.759786715,29.388599736,"0","0","150",226.183,,,,,,,,,,,,,,,,,,,,,,
-98.759790338,29.388600802,"0","0","151",226.184,,,,,,,,,,,,,,,,,,,,,,
-98.75979638,29.388602931,"0","0","152",226.188,,,,,,,,,,,,,,,,,,,,,,
-98.759802422,29.388606118,"0","0","153",226.198,,,,,,,,,,,,,,,,,,,,,,
-98.759808468,29.38860825,"0","0","154",226.202,,,,,,,,,,,,,,,,,,,,,,
-98.759813306,29.388610378,"0","0","155",226.206,,,,,,,,,,,,,,,,,,,,,,
-98.759816936,29.388611446,"0","0","156",226.207,,,,,,,,,,,,,,,,,,,,,,
-98.759821778,29.388612518,"0","0","157",226.207,,,,,,,,,,,,,,,,,,,,,,
-98.759827832,29.388613594,"0","0","158",226.204,,,,,,,,,,,,,,,,,,,,,,
-98.759832676,29.388614666,"0","0","159",226.203,,,,,,,,,,,,,,,,,,,,,,
-98.759837523,29.38861468,"0","0","160",226.197,,,,,,,,,,,,,,,,,,,,,,
-98.759843583,29.388614698,"0","0","161",226.189,,,,,,,,,,,,,,,,,,,,,,
-98.759849644,29.388615775,"0","0","162",226.187,,,,,,,,,,,,,,,,,,,,,,
-98.759855708,29.388615793,"0","0","163",226.179,,,,,,,,,,,,,,,,,,,,,,
-98.75986056,29.388615807,"0","0","164",226.173,,,,,,,,,,,,,,,,,,,,,,
-98.759866627,29.388614766,"0","0","165",226.163,,,,,,,,,,,,,,,,,,,,,,
-98.759873909,29.388614787,"0","0","166",226.158,,,,,,,,,,,,,,,,,,,,,,
-98.75987998,29.388613745,"0","0","167",226.149,,,,,,,,,,,,,,,,,,,,,,
-98.759884834,29.388612688,"0","0","168",226.14,,,,,,,,,,,,,,,,,,,,,,
-98.759888474,29.38861163,"0","0","169",226.133,,,,,,,,,,,,,,,,,,,,,,
-98.759894542,29.388610572,"0","0","170",226.123,,,,,,,,,,,,,,,,,,,,,,
-98.759899395,29.388608455,"0","0","171",226.11,,,,,,,,,,,,,,,,,,,,,,
-98.759904248,29.388606338,"0","0","172",226.096,,,,,,,,,,,,,,,,,,,,,,
-98.759909101,29.388604221,"0","0","173",226.082,,,,,,,,,,,,,,,,,,,,,,
-98.759913954,29.388603164,"0","0","174",226.074,,,,,,,,,,,,,,,,,,,,,,
-98.759917593,29.388601046,"0","0","175",226.061,,,,,,,,,,,,,,,,,,,,,,
