ele,X,Y
225.542,-98.759999044,29.388510135
225.527,-98.760003861,29.388508017
225.506,-98.760008657,29.388504841
225.482,-98.760011004,29.388500611
225.458,-98.760013348,29.388496386
225.44,-98.760015711,29.388493219
225.416,-98.760018051,29.388489001
225.392,-98.760020389,29.388484787
225.368,-98.760022819,29.388480566
225.35,-98.760024042,29.388477399
225.322,-98.760025269,29.388472121
225.297,-98.760026496,29.388466841
225.273,-98.760026507,29.388461562
225.254,-98.760026515,29.388457338
225.236,-98.760025306,29.388453116
225.218,-98.760024097,29.388448893
225.199,-98.760024106,29.388444668
225.177,-98.760022884,29.388439395
225.156,-98.760020425,29.388434132
225.133,-98.760019186,29.388428867
225.111,-98.760018001,29.38842358
225.093,-98.76001682,29.388419344
225.076,-98.760014418,29.388415111
225.061,-98.760010796,29.388410882
225.045,-98.760008393,29.388406647
225.035,-98.76000476,29.388403478
225.031,-98.759999898,29.388401377
225.028,-98.759995037,29.388399276
225.03,-98.75998898,29.388398219
225.036,-98.759984128,29.388398225
225.045,-98.759980476,29.388399294
225.057,-98.759974397,29.388400368
225.066,-98.759970746,29.388401438
225.086,-98.759965866,29.388404635
225.106,-98.759960989,29.388407829
225.121,-98.759956123,29.38840996
225.13,-98.759952479,29.388411028
225.146,-98.759946406,29.388413159
225.158,-98.759940342,29.38841423
225.173,-98.759935486,29.388416358
225.188,-98.759930632,29.388418484
225.198,-98.759925786,29.388419551
225.207,-98.759922151,29.388420616
225.219,-98.759916099,29.388421683
225.234,-98.75991126,29.388423798
225.244,-98.759906425,29.388424857
225.26,-98.75990038,29.388426972
225.273,-98.759896754,29.388429084
225.289,-98.759890714,29.388431194
225.311,-98.759883467,29.388434358
225.33,-98.759878637,29.388437519
225.345,-98.759873809,29.388439624
225.364,-98.759868981,29.388442782
225.384,-98.759862947,29.388445939
225.399,-98.759856913,29.388449095
225.412,-98.75985088,29.388452252
225.425,-98.759846055,29.388455408
225.438,-98.759842436,29.388458565
225.442,-98.759837611,29.388459615
225.461,-98.759832788,29.388463823
225.48,-98.759827965,29.38846803
225.49,-98.759824348,29.388470133
225.511,-98.759819524,29.388474336
225.532,-98.759814699,29.388478539
225.554,-98.759811076,29.38848274
225.576,-98.759807448,29.388486941
225.603,-98.759806234,29.388492196
225.626,-98.759803812,29.3884964
225.648,-98.759802598,29.388500606
225.676,-98.759800174,29.388505865
225.704,-98.759797749,29.388511126
225.727,-98.759797743,29.388515336
225.749,-98.759797736,29.388519546
225.776,-98.759797729,29.388524811
225.803,-98.75979893,29.388530076
225.825,-98.759800134,29.388534289
225.84,-98.759802548,29.388537447
225.865,-98.759806159,29.388542723
225.885,-98.759808562,29.388546948
225.899,-98.759812179,29.388550119
225.912,-98.759817008,29.38855329
225.929,-98.759823045,29.388557521
225.934,-98.75982909,29.388559637
225.941,-98.759833926,29.388561753
225.942,-98.759838765,29.388562811
225.942,-98.759844815,29.388563868
225.941,-98.759852076,29.388564925
225.943,-98.759855706,29.388565984
225.94,-98.759859337,29.388565983
225.925,-98.759865386,29.388563861
225.923,-98.759867805,29.38856386
225.907,-98.75987506,29.388561739
225.886,-98.759882316,29.388558574
225.86,-98.759889588,29.388554379
225.84,-98.759895653,29.388551234
225.819,-98.759901723,29.388548087
225.795,-98.759906575,29.388543874
225.782,-98.759909001,29.388541766
225.76,-98.759911419,29.388537542
225.735,-98.759916274,29.388533326
225.708,-98.759923569,29.388529116
225.682,-98.759929649,29.388524899
225.664,-98.759932073,29.388521731
225.634,-98.759936928,29.388516452
225.621,-98.75993936,29.388514341
225.592,-98.75994788,29.388510119
225.571,-98.759953965,29.388506951
225.55,-98.759958828,29.38850378
225.526,-98.759962451,29.388499553
225.5,-98.759967283,29.388495327
225.479,-98.759972087,29.388492161
225.455,-98.759975661,29.388487943
225.422,-98.759981635,29.388482677
225.399,-98.75998399,29.388478468
225.374,-98.759987583,29.388474258
225.348,-98.759988805,29.388468985
225.326,-98.759991241,29.388464764
225.31,-98.759992461,29.388461598
225.29,-98.759993683,29.388457377
225.26,-98.759994884,29.388451053
225.232,-98.759994866,29.388444733
225.222,-98.759991204,29.388441584
225.213,-98.759986326,29.38843844
225.213,-98.759982673,29.388437399
225.209,-98.759977803,29.388435309
225.213,-98.759970509,29.388434279
225.215,-98.759964439,29.388433243
225.217,-98.759958389,29.388432196
225.221,-98.759954761,29.388432199
225.229,-98.759947506,29.388432204
225.241,-98.759941463,29.388433259
225.25,-98.759937839,29.388434312
225.254,-98.759934212,29.388434315
225.27,-98.759928166,29.388436426
225.277,-98.759922113,29.388436439
225.294,-98.759914853,29.388438559
225.304,-98.759910018,29.388439619
225.313,-98.759906394,29.388440673
225.328,-98.759901562,29.388442781
225.342,-98.759896732,29.388444889
225.363,-98.759890694,29.38844805
225.376,-98.759887072,29.388450156
225.395,-98.759882242,29.388453315
225.413,-98.759878621,29.388456472
225.426,-98.759875002,29.388458576
225.44,-98.759870177,29.388460679
225.462,-98.759862941,29.388463832
225.482,-98.759858116,29.388468038
225.495,-98.759854499,29.388471192
225.52,-98.759850881,29.388476445
225.546,-98.759847264,29.388481698
225.561,-98.759843646,29.38848485
225.587,-98.759841235,29.388490103
225.608,-98.759837616,29.388494304
225.634,-98.759836407,29.388499557
225.66,-98.759835198,29.388504812
225.687,-98.759832781,29.388510068
225.718,-98.759832778,29.388516377
225.744,-98.759832775,29.388521637
225.769,-98.759833979,29.388526897
225.789,-98.759835182,29.38853111
225.803,-98.7598388,29.388534272
225.816,-98.759843627,29.388537436
225.823,-98.759848457,29.388539546
225.82,-98.759853288,29.388539545
225.806,-98.759859326,29.388537433
225.799,-98.759862948,29.388536377
225.778,-98.759868981,29.388533213
225.763,-98.759875012,29.388531103
225.744,-98.759878627,29.388527942
225.725,-98.759883455,29.38852479
225.712,-98.759887082,29.388522692
225.692,-98.759891918,29.388519542
225.683,-98.759895551,29.388518495
225.663,-98.759901606,29.388515344
225.654,-98.759905244,29.388514295
225.633,-98.7599113,29.38851114
225.617,-98.759917364,29.388509037
225.602,-98.759922215,29.388506931
225.582,-98.75992706,29.388503771
225.562,-98.759931905,29.38850061
225.543,-98.759935532,29.388497449
225.525,-98.759937939,29.388494288
225.504,-98.759942785,29.388491127
225.484,-98.759947631,29.388487964
225.463,-98.759952479,29.388484801
225.441,-98.75995855,29.388481635
225.418,-98.759960941,29.388477425
225.401,-98.759962123,29.38847427
225.377,-98.759965742,29.388470059
225.351,-98.759968159,29.388464792
225.328,-98.759968145,29.388459529
225.316,-98.759965707,29.388456377
225.308,-98.759960859,29.388453223
225.301,-98.759958434,29.38845112
225.304,-98.759951173,29.388450072
225.31,-98.759946335,29.388450075
225.325,-98.759936642,29.388451143
225.346,-98.759930585,29.38845431
225.355,-98.759926953,29.388455368
225.371,-98.759920901,29.388457482
225.392,-98.759913641,29.388460648
225.407,-98.759908804,29.388462757
225.427,-98.759902759,29.388465919
225.448,-98.759896718,29.38846908
225.461,-98.759893094,29.388471185
225.482,-98.759887055,29.388474344
225.53,-98.759879812,29.388482754
225.536,-98.759878607,29.388483805
225.589,-98.759870168,29.388493257
225.609,-98.759865346,29.388496408
225.636,-98.759862935,29.38850166
225.658,-98.759859319,29.388505861
225.678,-98.759859319,29.388510064
225.653,-98.759881013,29.388509011
225.633,-98.75988584,29.388505862
225.614,-98.759889462,29.388502711
225.594,-98.759894292,29.388499559
225.577,-98.759896709,29.388496407
225.563,-98.759900334,29.388494304
225.513,-98.759910006,29.388485891
225.493,-98.759914844,29.388482733
225.482,-98.759919684,29.388481678
225.467,-98.759924525,29.388479571
225.43,-98.759935426,29.3884743
225.411,-98.759939062,29.388471139
225.393,-98.759942698,29.388467977
225.391,-98.759931795,29.388464832
225.401,-98.759926952,29.38846589
225.411,-98.75992211,29.388466948
225.427,-98.75991606,29.388469059
225.434,-98.75991364,29.388470113
225.468,-98.759905175,29.388475379
225.505,-98.759897922,29.388481692
225.526,-98.759893089,29.388484848
225.534,-98.759889467,29.388485901
225.557,-98.759887051,29.388490105
